Title,Director,Writer,imdbID,Bechdel Score,dubious,year submitted,decade,Rated,imdbVotes,imdbRating,Genre
Sweet and Lowdown,Woody Allen,Woody Allen,158371,1,0.0,2016,1990,PG-13,36130,7.2,"Comedy, Drama, Music"
Muppets From Space,Tim Hill,"Jerry Juhl, Joey Mazzarino, Ken Kaufman",158811,3,0.0,2013,1990,G,20289,6.2,"Adventure, Comedy, Family"
Cold Mountain,Anthony Minghella,"Charles Frazier, Anthony Minghella",159365,3,0.0,2010,2000,R,153524,7.2,"Adventure, Drama, Romance"
She&#39;s All That,Robert Iscove,R. Lee Fleming Jr.,160862,3,0.0,2014,1990,PG-13,100872,5.9,"Comedy, Romance"
What Lies Beneath,Robert Zemeckis,"Clark Gregg, Sarah Kernochan",161081,3,0.0,2010,2000,PG-13,132731,6.6,"Drama, Horror, Mystery"
L&#39;ennui,Cédric Kahn,"Cédric Kahn, Laurence Ferreira Barbosa, Alberto Moravia",168740,1,0.0,2020,1990,N/A,2245,6.1,"Romance, Drama"
Bad Boys II,Michael Bay,"George Gallo, Marianne Wibberley, Cormac Wibberley",172156,1,1.0,2021,2000,R,261756,6.6,"Action, Comedy, Crime"
"Perfect Storm, The",Wolfgang Petersen,"Sebastian Junger, William D. Wittliff",177971,2,0.0,2020,2000,PG-13,174810,6.5,"Action, Adventure, Drama"
Almost Famous,Cameron Crowe,Cameron Crowe,181875,3,0.0,2010,2000,R,287612,7.9,"Adventure, Comedy, Drama"
"Big Kahuna, The",John Swanbeck,Roger Rueff,189584,0,0.0,2011,1990,R,14869,6.6,"Drama, Comedy"
Operation Delta Force 4: Deep Fault,Mark Roper,"Danny Lerner, David Sparling",194800,0,0.0,2021,1990,R,419,3.8,Action
Trouble Every Day,Claire Denis,"Claire Denis, Jean-Pol Fargeau",204700,1,0.0,2022,2000,Not Rated,8896,6,"Drama, Horror, Thriller"
Ginger Snaps,John Fawcett,"Karen Walton, John Fawcett",210070,3,0.0,2009,2000,Not Rated,50726,6.8,"Drama, Fantasy, Horror"
Alley Cats Strike,Rod Daniel,Gregory K. Pincus,217990,3,0.0,2020,2000,TV-G,2539,6,"Drama, Family, Sport"
"Gift, The",Sam Raimi,"Billy Bob Thornton, Tom Epperson",219699,3,1.0,2013,2000,R,73130,6.7,"Drama, Fantasy, Horror"
"51st State, The",Ronny Yu,Stel Pavlou,227984,0,0.0,2008,2000,R,50521,6.3,"Action, Comedy, Crime"
Freddy Got Fingered,Tom Green,"Tom Green, Derek Harvie",240515,0,0.0,2019,2000,R,50453,4.6,Comedy
"Little Mermaid 2: Return to the Sea, The","Jim Kammerud, Brian Smith(co-director), Bill Speers(co-director)","Elizabeth Anderson (screenplay), Temple Mathews (screenplay), Elise D'Haene (additional screenplay material), Eddie Guzelian (additional screenplay material)",240684,3,0.0,2013,2000,G,18076,5.6,"Animation, Drama, Family, Fantasy, Musical"
"Monkey and Another, Boxing","William K.L. Dickson, William Heise",N/A,241735,0,0.0,2021,1890,N/A,133,5.5,"Documentary, Short"
Bridget Jones&#39;s Diary,Sharon Maguire,"Helen Fielding, Andrew Davies, Richard Curtis",243155,3,0.0,2013,2000,R,255640,6.8,"Comedy, Drama, Romance"
Amores Perros,Alejandro G. Iñárritu,Guillermo Arriaga,245712,1,0.0,2014,2000,R,248669,8.1,"Drama, Thriller"
"Yes, But...",Yves Lavandier,Yves Lavandier,246278,3,0.0,2016,2000,N/A,628,6.5,"Comedy, Family, Drama"
Die Another Day,Lee Tamahori,"Ian Fleming, Neal Purvis, Robert Wade",246460,2,0.0,2012,2000,PG-13,225647,6.1,"Action, Adventure, Thriller"
Donnie Darko,Richard Kelly,Richard Kelly,246578,3,1.0,2010,2000,R,831225,8,"Drama, Mystery, Sci-Fi"
Santa who?,William Dear,"Debra Frank (teleplay), Steve L. Hayes (teleplay), Chad Hoffman (unpublished story), Robert Schwartz (unpublished story)",251382,1,0.0,2015,2000,N/A,1386,5.2,"Comedy, Fantasy"
Shallow Hal,"Bobby Farrelly, Peter Farrelly","Sean Moynihan, Peter Farrelly, Bobby Farrelly",256380,3,0.0,2013,2000,PG-13,140672,6,"Comedy, Drama, Fantasy"
J.S.A.: Joint Security Area,Park Chan-wook,"Park Chan-wook, Seong-san Jeong, Hyun-seok Kim",260991,2,0.0,2010,2000,Not Rated,33049,7.7,"Action, Drama, Thriller"
Big Fat Liar,Shawn Levy,"Dan Schneider, Brian Robbins",265298,3,0.0,2021,2000,PG,38717,5.5,"Adventure, Comedy, Family"
Monsoon Wedding,Mira Nair,Sabrina Dhawan,265343,3,0.0,2009,2000,R,26398,7.3,"Comedy, Drama, Romance"
"Mothman Prophecies, The",Mark Pellington,"Richard Hatem, John A. Keel",265349,2,0.0,2014,2000,PG-13,83378,6.4,"Drama, Horror, Mystery"
Battle Royale,Kinji Fukasaku,"Koushun Takami, Kenta Fukasaku",266308,3,0.0,2010,2000,Not Rated,190993,7.5,"Action, Adventure, Drama"
Death to Smoochy,Danny DeVito,Adam Resnick,266452,2,0.0,2012,2000,R,42019,6.3,"Comedy, Crime, Drama"
Dogville,Lars von Trier,Lars von Trier,276919,3,0.0,2011,2000,R,155382,8,"Crime, Drama"
Dog Soldiers,Neil Marshall,Neil Marshall,280609,0,0.0,2017,2000,R,64123,6.8,"Action, Horror, Thriller"
Spun,Jonas Åkerlund,"Will De Los Santos, Creighton Vero",283003,3,0.0,2013,2000,Unrated,40273,6.7,"Comedy, Crime, Drama"
WiseGirls,David Anspaugh,John Meadows,284655,3,0.0,2012,2000,R,3109,5.8,"Crime, Drama, Thriller"
Cypher,Vincenzo Natali,Brian King,284978,1,0.0,2013,2000,R,31840,6.7,"Mystery, Sci-Fi, Thriller"
Hysterical Blindness,Mira Nair,Laura Cahill,290664,3,0.0,2021,2000,TV-MA,3363,6.5,Drama
Shark Tale,"Bibo Bergeron, Vicky Jenson, Rob Letterman","Michael J. Wilson, Rob Letterman, Scott Aukerman",307453,1,0.0,2013,2000,PG,194335,6,"Animation, Adventure, Comedy"
25th Hour,Spike Lee,David Benioff,307901,2,1.0,2014,2000,R,182879,7.6,Drama
Down With Love,Peyton Reed,"Eve Ahlert, Dennis Drake",309530,3,0.0,2010,2000,PG-13,43610,6.3,"Comedy, Romance"
Sympathy for Mr. Vengeance,Park Chan-wook,"Myeong-chan Park, Mu-yeong Lee, Park Chan-wook",310775,3,1.0,2012,2000,R,73494,7.5,"Crime, Drama, Thriller"
Big Fish,Tim Burton,"Daniel Wallace, John August",319061,1,0.0,2011,2000,PG-13,452172,8,"Adventure, Drama, Fantasy"
Catwoman,Pitof,"Bob Kane, Theresa Rebeck, John Brancato",327554,3,0.0,2010,2000,PG-13,123958,3.4,"Action, Crime, Fantasy"
Funny Ha Ha,Andrew Bujalski,Andrew Bujalski,327753,3,0.0,2013,2000,Not Rated,2884,6.4,"Comedy, Drama, Romance"
